# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
,,,,,,,,,,
PAD,Bank,Pin/Ball Function,,Dual Function,,High Speed,,DQS,DESC,CABGA256
197,3,PR41B,,,/,HS-,/,RDQ44,PR41B/HS-/RDQ44,R14
198,3,PR41C,,,/,+,/,RDQ44,PR41C/+/RDQ44,R13
200,3,PR41A,,,/,HS+,/,RDQ44,PR41A/HS+/RDQ44,P13
201,3,PR38D,,,/,-,/,RDQ44,PR38D/-/RDQ44,T15
203,3,PR38B,,,/,HS,/,RDQ44,PR38B/HS/RDQ44,P14
204,3,PR38C,,,/,+,/,RDQ44,PR38C/+/RDQ44,R15
206,3,PR38A,,,/,HS+,/,RDQ44,PR38A/HS+/RDQ44,N13
207,3,PR35D,,,/,-,/,RDQ32,PR35D/-/RDQ32,N14
209,3,PR35B,/,VREF1_3,/,HS-,/,RDQ32,PR35B/VREF1_3/HS-/RDQ32,R16
210,3,PR35C,,,/,+,/,RDQ32,PR35C/+/RDQ32,M13
212,3,PR35A,,,/,HS+,/,RDQ32,PR35A/HS+/RDQ32,P16
213,3,PR32D,,,/,-,/,RDQ32,PR32D/-/RDQ32,M14
215,3,PR32B,,,/,HS-,/,RDQSN32,PR32B/HS-/RDQSN32,P15
216,3,PR32C,,,/,+,/,RDQ32,PR32C/+/RDQ32,L14
218,3,PR32A,,,/,HS+,/,RDQS32,PR32A/HS+/RDQS32,N16
219,3,PR29D,,,/,-,/,RDQ32,PR29D/-/RDQ32,L12
221,3,PR29B,,,/,HS-,/,RDQ32,PR29B/HS-/RDQ32,K12
222,3,PR29C,/,GR_PCLK3_1,/,+,/,RDQ32,PR29C/GR_PCLK3_1/+/RDQ32,L13
224,3,PR29A,/,GR_PCLK3_0,/,HS+,/,RDQ32,PR29A/GR_PCLK3_0/HS+/RDQ32,K13
225,3,PR26D,/,PCLKC3_0,/,-,/,RDQ32,PR26D/PCLKC3_0/-/RDQ32,M15
227,3,PR26B,/,PCLKC3_1,/,HS-,/,RDQ32,PR26B/PCLKC3_1/HS-/RDQ32,L15
228,3,PR26C,/,PCLKT3_0,/,+,/,RDQ32,PR26C/PCLKT3_0/+/RDQ32,M16
230,3,PR26A,/,PCLKT3_1,/,HS+,/,RDQ32,PR26A/PCLKT3_1/HS+/RDQ32,L16
231,2,PR23D,/,PCLKC2_0,/,-,/,RDQ20,PR23D/PCLKC2_0/-/RDQ20,K15
233,2,PR23B,/,PCLKC2_1,/,HS-,/,RDQ20,PR23B/PCLKC2_1/HS-/RDQ20,J15
234,2,PR23C,/,PCLKT2_0,/,+,/,RDQ20,PR23C/PCLKT2_0/+/RDQ20,K16
236,2,PR23A,/,PCLKT2_1,/,HS+,/,RDQ20,PR23A/PCLKT2_1/HS+/RDQ20,J16
237,2,PR20D,,,/,-,/,RDQ20,PR20D/-/RDQ20,K14
239,2,PR20B,,,/,HS,/,RDQSN20,PR20B/HS/RDQSN20,H15
240,2,PR20C,/,GR_PCLK2_0,/,+,/,RDQ20,PR20C/GR_PCLK2_0/+/RDQ20,J14
242,2,PR20A,/,GR_PCLK2_1,/,HS+,/,RDQS20,PR20A/GR_PCLK2_1/HS+/RDQS20,G16
243,2,PR17D,,,/,-,/,RDQ20,PR17D/-/RDQ20,J12
245,2,PR17B,,,/,HS-,/,RDQ20,PR17B/HS-/RDQ20,H13
246,2,PR17C,,,/,+,/,RDQ20,PR17C/+/RDQ20,J13
248,2,PR17A,,,/,HS+,/,RDQ20,PR17A/HS+/RDQ20,H12
249,2,PR14D,,,/,-,/,RDQ20,PR14D/-/RDQ20,H14
251,2,PR14B,,,/,HS-,/,RDQ20,PR14B/HS-/RDQ20,G15
252,2,PR14C,/,VREF1_2,/,+,/,RDQ20,PR14C/VREF1_2/+/RDQ20,G14
254,2,PR14A,,,/,HS+,/,RDQ20,PR14A/HS+/RDQ20,F16
